;A;B;C
R5696;1;1;0
R5697;0;1;1
R5698;0;1;1
R5699;1;0;0
R5700;0;0;0
R5701;1;0;0
R5702;1;1;0
R5703;0;0;1
R5704;0;1;0
R5705;0;0;1
R5706;0;1;1
R5707;1;1;1
R5708;0;1;1
R5709;0;1;1
R5710;0;1;1
R5711;0;1;0
R5712;0;0;0
R5713;0;0;0
R5714;1;1;0
R5715;0;0;1
R5716;1;1;0
R5717;1;1;0
R5718;0;0;1
R5719;0;1;0
R5720;0;0;0
R5721;1;0;1
R5722;1;1;0
R5723;1;1;1
R5724;0;1;0
R5725;0;0;1
R5726;0;1;0
R5727;1;1;0
R5728;0;0;0
R5729;1;0;0
R5730;0;1;1
R5731;1;1;1
R5732;1;0;1
R5733;0;1;1
R5734;0;1;0
R5735;1;0;1
R5736;0;0;0
R5737;1;1;0
R5738;0;0;0
R5739;0;1;0
R5740;1;1;1
R5741;0;1;1
R5742;0;1;0
R5743;0;0;1
R5744;1;0;0
R5745;0;1;0
R5746;0;0;1
R5747;1;0;0
R5748;0;0;1
R5749;1;1;0
R5750;1;1;1
R5751;0;1;0
R5752;0;0;1
R5753;0;1;1
R5754;1;0;0
R5755;0;1;1
R5756;1;0;1
R5757;0;1;1
R5758;0;0;0
R5759;1;0;0
R5760;1;0;1
R5761;1;0;0
R5762;1;1;1
R5763;1;1;1
R5764;1;1;1
R5765;1;1;1
R5766;0;0;0
R5767;1;1;0
R5768;0;0;1
R5769;0;0;1
R5770;0;1;0
R5771;0;0;1
R5772;1;0;0
R5773;0;1;1
R5774;1;0;1
R5775;1;0;0
R5776;0;0;1
R5777;1;1;0
R5778;0;0;1
R5779;0;0;1
R5780;1;0;0
R5781;1;0;0
R5782;0;0;1
R5783;1;1;1
R5784;0;1;0
R5785;0;0;1
R5786;0;0;1
R5787;1;1;1
R5788;1;0;0
R5789;0;1;1
R5790;1;0;1
R5791;1;0;0
R5792;1;1;1
R5793;0;1;0
R5794;0;1;1
R5795;0;1;1
R5796;0;0;0
R5797;0;0;0
R5798;0;0;1
R5799;1;1;1
R5800;1;0;1
R5801;0;0;0
R5802;1;0;1
R5803;1;0;0
R5804;1;1;1
R5805;0;1;0
R5806;0;1;1
R5807;1;1;1
R5808;0;0;0
R5809;0;1;1
R5810;0;0;1
R5811;1;1;0
R5812;0;0;1
R5813;1;0;1
R5814;1;0;1
R5815;0;0;0
R5816;0;1;0
R5817;1;1;0
R5818;0;0;1
R5819;1;1;1
R5820;1;0;0
R5821;1;0;1
R5822;0;1;0
R5823;1;0;1
R5824;0;1;0
R5825;0;1;0
R5826;0;1;1
R5827;1;0;0
R5828;1;1;1
R5829;0;1;0
R5830;0;0;0
R5831;0;0;1
R5832;1;1;1
R5833;0;0;1
R5834;1;1;1
R5835;0;1;1
R5836;1;1;1
R5837;1;0;1
R5838;0;0;1
R5839;0;0;1
R5840;0;0;0
R5841;0;1;0
R5842;0;1;1
R5843;0;0;0
R5844;0;0;1
R5845;1;0;1
R5846;1;0;0
R5847;1;1;0
R5848;1;1;0
R5849;1;0;0
R5850;0;0;0
R5851;0;0;1
R5852;1;0;1
R5853;1;0;0
R5854;0;0;1
R5855;1;0;1
R5856;0;1;1
R5857;0;1;0
R5858;1;1;1
R5859;1;1;1
R5860;0;1;1
R5861;1;1;1
R5862;1;0;0
R5863;0;1;0
R5864;0;1;0
R5865;1;1;0
R5866;0;0;0
R5867;1;0;0
R5868;1;1;1
R5869;0;1;1
R5870;1;0;1
R5871;1;1;0
R5872;1;1;1
R5873;1;0;1
R5874;1;0;0
R5875;1;1;0
R5876;1;0;0
R5877;1;1;1
R5878;0;0;0
R5879;0;0;1
R5880;0;1;1
R5881;1;1;0
R5882;1;0;0
R5883;1;0;1
R5884;0;1;1
R5885;1;1;1
R5886;1;1;0
R5887;0;1;1
R5888;1;0;1
R5889;0;0;0
R5890;1;0;0
R5891;0;0;1
R5892;0;1;0
R5893;1;1;0
R5894;0;0;0
R5895;0;1;1
R5896;0;0;0
R5897;0;0;0
R5898;1;1;1
R5899;1;0;0
R5900;1;0;1
R5901;1;0;0
R5902;1;0;0
R5903;0;1;0
R5904;1;1;1
R5905;0;0;1
R5906;0;1;1
R5907;0;0;0
R5908;1;1;0
R5909;1;1;1
R5910;1;0;0
R5911;0;1;0
R5912;0;0;0
R5913;0;0;1
R5914;0;0;1
R5915;1;0;0
R5916;1;1;0
R5917;1;0;1
R5918;1;1;1
R5919;1;0;0
R5920;0;0;0
R5921;1;1;0
R5922;0;1;0
R5923;0;0;0
R5924;1;0;1
R5925;0;1;0
R5926;0;1;1
R5927;1;1;1
R5928;1;0;0
R5929;0;1;0
R5930;1;1;0
R5931;1;1;1
R5932;1;0;1
R5933;0;1;1
R5934;1;0;1
R5935;1;1;0
R5936;1;0;0
R5937;0;1;0
R5938;1;1;1
R5939;1;0;1
R5940;1;1;0
R5941;0;0;0
R5942;0;1;1
R5943;1;0;1
R5944;1;1;1
R5945;0;0;0
R5946;0;0;1
R5947;0;0;1
R5948;0;1;1
R5949;0;1;1
R5950;0;1;0
R5951;0;0;0
R5952;0;1;1
R5953;0;1;0
R5954;1;0;0
R5955;1;0;0
R5956;1;0;0
R5957;0;0;1
R5958;1;1;0
R5959;1;0;0
R5960;0;0;0
R5961;1;1;0
R5962;0;1;0
R5963;0;1;1
R5964;1;0;1
R5965;1;0;0
R5966;1;1;0
R5967;1;1;0
R5968;1;0;1
R5969;1;0;0
R5970;1;1;1
R5971;1;0;1
R5972;0;1;0
R5973;1;1;0
R5974;1;0;0
R5975;1;0;1
R5976;0;1;0
R5977;1;0;0
R5978;0;1;1
R5979;0;0;0
R5980;0;0;1
R5981;0;0;0
R5982;1;0;0
R5983;0;1;0
R5984;0;1;0
R5985;0;1;1
R5986;0;0;0
R5987;1;0;1
R5988;0;0;1
R5989;1;0;1
R5990;0;1;0
R5991;1;0;1
R5992;0;1;1
R5993;0;1;0
R5994;1;0;1
R5995;0;0;1
R5996;0;0;1
R5997;1;1;1
R5998;1;1;0
R5999;0;0;0
R6000;0;0;1
R6001;1;0;1
R6002;1;0;1
R6003;0;1;1
R6004;1;0;0
R6005;1;1;0
R6006;0;1;1
R6007;1;1;1
R6008;1;0;0
R6009;0;0;0
R6010;0;0;0
R6011;1;0;1
R6012;0;1;1
R6013;1;1;1
R6014;0;0;0
R6015;1;1;0
R6016;0;1;0
R6017;0;0;0
R6018;0;1;1
R6019;1;1;1
R6020;0;1;0
R6021;1;1;0
R6022;0;0;1
R6023;0;0;1
R6024;0;0;1
R6025;0;0;0
R6026;0;1;1
R6027;1;0;0
R6028;1;1;1
R6029;0;1;0
R6030;1;1;0
R6031;0;0;1
R6032;0;0;0
R6033;1;0;0
R6034;1;1;1
R6035;1;0;0
R6036;0;1;0
R6037;1;0;0
R6038;1;0;1
R6039;0;1;1
R6040;1;1;1
R6041;1;1;0
R6042;1;0;0
R6043;0;1;0
R6044;1;0;1
R6045;0;0;0
R6046;1;0;0
R6047;0;0;1
R6048;1;1;1
R6049;1;0;0
R6050;1;0;1
R6051;1;0;0
R6052;1;1;1
R6053;0;1;0
R6054;1;1;0
R6055;1;0;0
R6056;1;0;0
R6057;0;0;1
R6058;1;1;1
R6059;1;0;0
R6060;1;1;0
R6061;1;0;1
R6062;1;0;1
R6063;0;0;0
R6064;1;1;0
R6065;1;1;0
R6066;1;0;0
R6067;0;0;0
R6068;0;0;1
R6069;1;0;0
R6070;0;0;1
R6071;0;0;1
R6072;0;1;0
R6073;1;1;0
R6074;0;1;1
R6075;0;0;0
R6076;0;1;1
R6077;1;1;0
R6078;0;1;0
R6079;1;1;1
R6080;1;0;1
R6081;0;1;1
R6082;0;0;1
R6083;1;0;0
R6084;1;1;0
R6085;0;1;1
R6086;0;1;1
R6087;0;1;0
R6088;1;0;1
R6089;0;0;0
R6090;1;1;1
R6091;1;0;1
R6092;1;1;0
R6093;1;0;0
R6094;1;0;1
R6095;0;0;0
R6096;0;1;1
R6097;1;0;0
R6098;0;1;1
R6099;1;0;0
R6100;0;0;1
R6101;0;1;1
R6102;1;0;0
R6103;0;0;0
R6104;0;0;0
R6105;1;1;1
R6106;0;0;0
R6107;0;0;1
R6108;1;1;0
R6109;1;0;0
R6110;1;0;1
R6111;0;0;0
R6112;1;1;0
R6113;1;0;1
R6114;1;0;1
R6115;0;0;0
R6116;0;0;0
R6117;0;1;0
R6118;0;1;1
R6119;1;0;0
R6120;0;0;0
R6121;0;1;0
R6122;0;0;0
R6123;1;1;1
R6124;0;1;0
R6125;1;1;1
R6126;0;0;1
R6127;1;1;0
R6128;0;1;0
R6129;0;1;1
R6130;0;1;1
R6131;0;0;1
R6132;0;1;0
R6133;1;1;1
R6134;1;0;0
R6135;0;0;0
R6136;1;1;1
R6137;0;1;0
R6138;1;1;0
R6139;0;0;0
R6140;1;1;1
R6141;0;1;1
R6142;1;1;0
R6143;0;1;0
R6144;0;1;1
R6145;1;1;1
R6146;1;0;0
R6147;0;0;1
R6148;1;1;1
R6149;1;0;1
R6150;0;0;0
R6151;0;1;0
R6152;0;1;0
R6153;0;1;0
R6154;0;1;0
R6155;0;1;1
R6156;0;0;0
R6157;0;1;0
R6158;1;0;1
R6159;0;1;0
R6160;1;1;1
R6161;0;0;0
R6162;1;0;0
R6163;1;0;0
R6164;0;0;0
R6165;1;1;1
R6166;0;0;0
R6167;1;1;1
R6168;1;1;1
R6169;1;1;1
R6170;0;0;1
R6171;1;1;1
R6172;0;1;1
R6173;1;1;1
R6174;1;0;1
R6175;1;1;0
R6176;0;1;1
R6177;0;0;0
R6178;1;1;1
R6179;0;0;1
R6180;0;0;0
R6181;1;1;0
R6182;1;0;1
R6183;1;0;0
R6184;0;0;0
R6185;0;0;0
R6186;0;1;1
R6187;0;1;1
R6188;0;0;0
R6189;0;0;1
R6190;1;0;0
R6191;1;1;1
R6192;0;0;1
R6193;1;1;0
R6194;1;1;1
R6195;0;1;1
R6196;0;0;1
R6197;0;0;0
R6198;1;0;1
R6199;0;1;1
R6200;0;1;1
R6201;0;1;0
R6202;1;0;1
R6203;0;1;0
R6204;1;1;0
R6205;1;1;1
R6206;0;0;0
R6207;0;0;1
R6208;1;0;0
R6209;1;1;0
R6210;1;1;0
R6211;0;1;0
R6212;1;0;0
R6213;1;0;0
R6214;1;1;1
R6215;0;1;1
R6216;1;0;0
R6217;1;1;0
R6218;0;0;0
R6219;0;0;0
R6220;1;0;0
R6221;0;1;1
R6222;0;1;0
R6223;0;1;0
R6224;1;0;1
R6225;0;0;1
R6226;0;0;1
R6227;1;1;1
R6228;0;0;0
R6229;0;1;1
R6230;0;0;1
R6231;0;0;1
R6232;0;0;1
R6233;1;1;1
R6234;1;1;1
R6235;0;1;0
R6236;0;1;0
R6237;1;1;0
R6238;1;0;1
R6239;0;1;0
R6240;1;1;0
R6241;1;1;0
R6242;1;0;1
R6243;1;0;1
R6244;1;0;0
R6245;1;0;0
R6246;1;0;1
R6247;1;0;1
R6248;1;0;1
R6249;1;0;0
R6250;1;1;1
R6251;1;0;1
R6252;0;0;1
R6253;0;0;0
R6254;1;1;1
R6255;1;1;1
R6256;0;1;1
R6257;0;0;1
R6258;1;0;1
R6259;0;0;1
R6260;0;1;0
R6261;1;1;0
R6262;1;1;1
R6263;1;0;0
R6264;1;1;0
R6265;0;0;1
R6266;0;0;0
R6267;0;0;1
R6268;0;0;1
R6269;0;0;0
R6270;0;0;1
R6271;1;0;0
R6272;0;0;0
R6273;0;0;1
R6274;1;0;1
R6275;1;0;1
R6276;1;1;0
R6277;0;0;0
R6278;0;1;1
R6279;0;1;1
R6280;0;1;0
R6281;0;0;0
R6282;1;0;1
R6283;0;1;0
R6284;0;1;1
R6285;0;0;0
R6286;1;1;1
R6287;1;0;0
R6288;1;0;0
R6289;1;0;0
R6290;0;1;0
R6291;1;0;1
R6292;0;0;1
R6293;1;0;1
R6294;1;1;1
R6295;0;1;1
R6296;0;1;0
R6297;0;1;0
R6298;0;0;0
R6299;0;0;0
R6300;0;0;0
R6301;0;0;0
R6302;0;0;0
R6303;1;1;1
R6304;0;1;1
R6305;1;0;1
R6306;0;1;1
R6307;0;1;1
R6308;0;0;0
R6309;1;1;0
R6310;0;1;1
R6311;0;1;1
R6312;0;1;1
R6313;0;1;0
R6314;0;1;1
R6315;1;0;0
R6316;1;0;1
R6317;0;0;1
R6318;0;1;1
R6319;0;1;0
R6320;1;1;1
R6321;0;0;1
R6322;0;1;1
R6323;0;1;0
R6324;0;1;1
R6325;1;0;1
R6326;0;0;1
R6327;0;0;0
R6328;1;0;1
R6329;0;1;1
R6330;1;0;0
R6331;0;0;0
R6332;1;1;0
R6333;0;0;1
R6334;1;1;0
R6335;0;1;1
R6336;1;0;0
R6337;0;1;1
R6338;0;0;1
R6339;0;1;1
R6340;1;0;0
R6341;1;1;1
R6342;0;0;1
R6343;0;0;1
R6344;1;1;1
R6345;1;0;0
R6346;1;1;0
R6347;0;1;1
R6348;1;1;1
R6349;0;1;1
R6350;0;0;1
R6351;1;0;1
R6352;1;1;1
R6353;0;0;0
R6354;0;1;1
R6355;1;1;1
R6356;0;1;1
R6357;1;0;1
R6358;1;1;1
R6359;0;1;1
R6360;1;1;1
R6361;0;1;0
R6362;0;0;1
R6363;1;1;1
R6364;1;0;1
R6365;1;1;1
R6366;1;1;1
R6367;0;1;0
R6368;1;1;1
R6369;0;0;1
R6370;1;0;0
R6371;1;1;1
R6372;1;1;0
R6373;1;1;1
R6374;0;0;1
R6375;0;1;1
R6376;0;1;1
R6377;1;0;1
R6378;1;0;0
R6379;0;1;1
R6380;0;1;1
R6381;0;1;0
R6382;0;1;1
R6383;1;1;0
R6384;1;1;0
R6385;1;1;0
R6386;0;0;0
R6387;1;1;0
R6388;0;1;0
R6389;0;1;0
R6390;0;0;1
R6391;1;1;1
R6392;1;1;0
R6393;0;1;1
R6394;0;0;0
R6395;0;1;0
R6396;0;0;1
R6397;0;0;0
R6398;1;0;1
R6399;0;1;0
R6400;0;0;1
R6401;0;0;1
R6402;0;1;0
R6403;1;1;1
R6404;1;0;0
R6405;0;0;0
R6406;0;1;1
R6407;0;1;0
R6408;0;0;0
R6409;0;1;0
R6410;1;0;0
R6411;0;1;1
R6412;0;1;0
R6413;0;0;1
R6414;0;0;0
R6415;0;1;0
R6416;1;1;1
R6417;0;0;0
R6418;0;0;1
R6419;0;0;1
R6420;1;0;0
R6421;0;1;1
R6422;1;1;1
R6423;0;1;1
R6424;0;0;0
R6425;0;0;1
R6426;0;0;0
R6427;1;1;1
R6428;1;0;0
R6429;1;1;1
R6430;1;1;0
R6431;1;0;1
R6432;0;0;0
R6433;1;1;1
R6434;1;0;0
R6435;0;0;1
R6436;0;1;0
R6437;0;1;0
R6438;1;1;1
R6439;0;0;0
R6440;0;1;0
R6441;1;0;1
R6442;1;1;0
R6443;1;0;0
R6444;1;0;0
R6445;1;0;1
R6446;1;1;1
R6447;1;0;0
R6448;0;1;0
R6449;0;0;0
R6450;1;0;0
R6451;1;1;1
R6452;0;1;1
R6453;1;0;1
R6454;1;0;0
R6455;1;0;0
R6456;0;1;1
R6457;0;1;1
R6458;0;1;0
R6459;1;1;1
R6460;0;0;1
R6461;0;0;1
R6462;1;0;1
R6463;0;0;0
R6464;0;0;0
R6465;1;1;0
R6466;0;0;1
R6467;0;1;1
R6468;1;0;0
R6469;1;0;1
R6470;1;0;1
R6471;1;0;0
R6472;0;1;0
R6473;1;1;0
R6474;1;0;0
R6475;0;0;1
R6476;0;0;1
R6477;1;0;0
R6478;1;0;1
R6479;1;1;1
R6480;1;1;1
R6481;1;1;0
R6482;1;0;1
R6483;1;0;1
R6484;1;1;1
R6485;0;1;0
R6486;1;1;1
R6487;1;1;1
R6488;1;0;1
R6489;1;0;0
R6490;1;1;0
R6491;1;0;0
R6492;0;1;1
R6493;0;1;1
R6494;1;1;0
R6495;0;1;0
R6496;1;0;0
R6497;0;1;0
R6498;1;1;1
R6499;1;1;0
R6500;1;0;1
R6501;1;1;1
R6502;1;1;0
R6503;0;1;0
R6504;0;1;1
R6505;0;0;1
R6506;0;1;1
R6507;1;1;1
R6508;1;1;0
R6509;0;1;1
R6510;0;1;1
R6511;0;0;1
R6512;0;0;1
R6513;1;1;0
R6514;0;1;0
R6515;1;0;0
R6516;0;0;0
R6517;1;0;0
R6518;0;1;0
R6519;1;1;1
R6520;1;0;0
R6521;0;0;0
R6522;1;1;0
R6523;1;0;1
R6524;1;0;0
R6525;1;1;1
R6526;0;0;1
R6527;0;1;0
R6528;1;0;0
R6529;0;1;0
R6530;0;1;1
R6531;1;0;1
R6532;1;0;0
R6533;1;1;1
R6534;1;0;1
R6535;1;0;0
R6536;1;1;1
R6537;0;1;1
R6538;0;1;1
R6539;0;1;1
R6540;1;0;0
R6541;1;0;0
R6542;1;1;1
R6543;1;1;1
R6544;0;0;1
R6545;1;0;1
R6546;0;1;0
R6547;1;1;1
R6548;0;0;0
R6549;1;1;0
R6550;0;0;1
R6551;0;1;0
R6552;1;0;1
R6553;0;0;0
R6554;0;0;1
R6555;0;0;0
R6556;1;1;0
R6557;0;0;1
R6558;1;0;1
R6559;0;0;0
R6560;1;1;0
R6561;1;1;0
R6562;0;1;1
R6563;0;0;0
R6564;1;0;0
R6565;0;1;1
R6566;0;1;0
R6567;0;0;0
R6568;0;0;0
R6569;1;0;0
R6570;1;1;0
R6571;0;1;0
R6572;1;1;1
R6573;1;0;1
R6574;1;0;0
R6575;0;0;0
R6576;0;1;1
R6577;1;0;1
R6578;1;1;0
R6579;1;0;1
R6580;1;1;1
R6581;0;0;0
R6582;0;0;1
R6583;1;1;1
R6584;0;0;0
R6585;0;0;1
R6586;1;0;0
R6587;1;0;0
R6588;1;1;1
R6589;1;0;1
R6590;0;0;0
R6591;0;1;1
R6592;1;1;0
R6593;0;0;0
R6594;1;0;0
R6595;0;0;0
R6596;0;1;1
R6597;0;1;1
R6598;1;0;0
R6599;1;0;0
R6600;1;0;0
R6601;1;1;1
R6602;1;1;1
R6603;0;1;1
R6604;0;0;0
R6605;1;0;0
R6606;0;1;0
R6607;1;0;1
R6608;1;0;1
R6609;0;1;0
R6610;1;0;0
R6611;0;0;1
R6612;0;1;0
R6613;1;1;0
R6614;1;0;0
R6615;0;1;0
R6616;1;1;0
R6617;1;0;0
R6618;1;0;1
R6619;0;1;1
R6620;0;1;0
R6621;0;0;1
R6622;0;0;1
R6623;0;1;0
R6624;0;1;0
R6625;0;0;0
R6626;0;1;1
R6627;1;1;1
R6628;0;1;0
R6629;1;0;0
R6630;1;1;0
R6631;1;1;0
R6632;1;0;1
R6633;0;1;1
R6634;0;1;1
R6635;1;0;1
R6636;1;0;1
R6637;1;1;1
R6638;0;1;1
R6639;1;0;1
R6640;1;0;0
R6641;1;1;0
R6642;1;1;0
R6643;0;0;0
R6644;0;0;0
R6645;0;1;1
R6646;0;0;1
R6647;0;0;0
R6648;0;0;1
R6649;0;0;0
R6650;0;1;0
R6651;0;1;0
R6652;0;1;0
R6653;1;0;1
R6654;0;0;1
R6655;1;0;0
R6656;0;0;0
R6657;1;1;0
R6658;0;1;0
R6659;0;0;0
R6660;1;0;1
R6661;1;0;0
R6662;0;0;0
R6663;0;0;0
R6664;0;0;0
R6665;1;0;0
R6666;1;1;0
R6667;0;0;0
R6668;0;1;1
R6669;0;0;0
R6670;1;1;1
R6671;0;0;0
R6672;0;1;0
R6673;1;0;1
R6674;1;0;0
R6675;0;0;0
R6676;0;0;0
R6677;1;0;0
R6678;1;1;1
R6679;0;0;0
R6680;1;0;1
R6681;0;1;1
R6682;1;1;0
R6683;0;1;1
R6684;0;1;1
R6685;0;1;0
R6686;1;1;0
R6687;0;0;1
R6688;1;1;1
R6689;1;1;0
R6690;0;0;1
R6691;1;1;0
R6692;1;1;1
R6693;0;1;0
R6694;1;1;1
R6695;0;0;1
R6696;1;1;0
R6697;1;1;1
R6698;1;0;0
R6699;0;0;1
R6700;0;1;0
R6701;0;0;1
R6702;1;1;1
R6703;0;0;0
R6704;1;0;0
R6705;0;1;0
R6706;1;1;0
R6707;1;1;0
R6708;0;0;1
R6709;0;0;0
R6710;0;1;1
R6711;0;1;0
R6712;0;1;1
R6713;1;0;0
R6714;0;0;0
R6715;1;1;1
R6716;1;0;0
R6717;1;0;0
R6718;1;1;0
R6719;1;0;1
R6720;1;1;1
R6721;0;1;0
R6722;1;0;1
R6723;1;1;1
R6724;0;1;0
R6725;1;0;1
R6726;1;1;0
R6727;0;0;0
R6728;0;1;0
R6729;0;0;0
R6730;1;1;0
R6731;1;0;1
R6732;1;0;0
R6733;1;0;0
R6734;1;1;1
R6735;1;1;0
R6736;0;0;1
R6737;0;0;1
R6738;1;0;1
R6739;1;0;0
R6740;1;1;1
R6741;1;1;0
R6742;1;1;0
R6743;1;1;1
R6744;1;0;0
R6745;1;0;0
R6746;0;0;0
R6747;1;1;1
R6748;1;1;1
R6749;0;1;1
R6750;0;1;0
R6751;1;0;1
R6752;0;1;0
R6753;0;1;0
R6754;0;0;0
R6755;1;0;0
R6756;1;1;1
R6757;0;1;1
R6758;0;0;1
R6759;1;1;0
R6760;1;0;0
R6761;0;0;1
R6762;0;1;1
R6763;0;0;0
R6764;1;0;1
R6765;0;0;0
R6766;0;1;0
R6767;0;1;0
R6768;0;1;0
R6769;1;1;0
R6770;1;0;1
R6771;1;0;0
R6772;1;1;1
R6773;0;0;1
R6774;1;0;0
R6775;0;0;0
R6776;0;1;0
R6777;0;0;1
R6778;0;1;1
R6779;0;0;0
R6780;1;0;0
R6781;1;1;1
R6782;1;1;1
R6783;1;0;0
R6784;1;1;0
R6785;0;1;1
R6786;0;0;1
R6787;0;1;1
R6788;0;1;0
R6789;1;1;0
R6790;0;0;0
R6791;0;1;1
R6792;1;0;1
R6793;0;1;1
R6794;1;1;1
R6795;1;1;1
R6796;1;0;0
R6797;1;1;1
R6798;1;0;0
R6799;1;1;0
R6800;1;1;0
R6801;0;0;1
R6802;1;0;0
R6803;0;0;1
R6804;1;1;1
R6805;1;1;1
R6806;1;1;1
R6807;0;0;1
R6808;0;0;0
R6809;0;1;0
R6810;0;0;0
R6811;1;0;0
R6812;1;0;0
R6813;0;1;1
R6814;1;0;1
R6815;0;0;1
R6816;0;1;1
R6817;0;1;0
R6818;0;1;0
R6819;0;0;0
R6820;1;1;1
R6821;0;1;0
R6822;1;1;1
R6823;0;1;1
R6824;1;1;0
R6825;0;1;0
R6826;1;0;1
R6827;0;0;0
R6828;1;0;0
R6829;1;1;1
R6830;0;0;0
R6831;1;1;1
R6832;0;0;1
R6833;0;0;1
R6834;0;0;0
R6835;1;1;0
R6836;0;0;0
R6837;1;1;0
R6838;0;0;0
R6839;0;0;1
R6840;0;1;0
R6841;0;0;0
R6842;0;0;1
R6843;1;1;1
R6844;0;0;1
R6845;1;1;1
R6846;1;1;0
R6847;0;1;1
R6848;1;1;0
R6849;0;1;1
R6850;1;0;0
R6851;1;1;1
R6852;1;0;0
R6853;0;0;1
R6854;1;0;1
R6855;0;0;1
R6856;0;1;0
R6857;1;1;0
R6858;1;1;1
R6859;0;0;1
R6860;0;0;0
R6861;0;1;0
R6862;1;0;0
R6863;0;0;1
R6864;0;0;0
R6865;1;0;0
R6866;0;0;1
R6867;1;0;1
R6868;1;0;0
R6869;0;0;1
R6870;1;0;0
R6871;1;1;1
R6872;1;1;1
R6873;0;1;0
R6874;1;1;1
R6875;0;1;1
R6876;1;1;1
R6877;0;1;0
R6878;1;1;1
R6879;1;1;0
R6880;1;0;0
R6881;0;0;1
R6882;0;0;0
R6883;0;1;0
R6884;1;0;1
R6885;1;0;1
R6886;1;0;1
R6887;0;0;1
R6888;1;0;0
R6889;0;1;1
R6890;1;0;0
R6891;1;0;0
R6892;1;0;1
R6893;1;1;1
R6894;0;1;1
R6895;0;0;0
R6896;0;0;0
R6897;0;0;0
R6898;1;0;1
R6899;0;1;0
R6900;0;0;0
R6901;1;1;1
R6902;0;1;0
R6903;0;1;1
R6904;1;1;0
R6905;1;0;0
R6906;0;1;1
R6907;0;0;0
R6908;0;0;1
R6909;1;1;0
R6910;1;1;0
R6911;1;0;1
R6912;0;0;0
R6913;0;0;0
R6914;0;1;1
R6915;0;0;1
R6916;1;0;0
R6917;1;1;1
R6918;0;1;0
R6919;1;1;0
R6920;0;0;1
R6921;0;0;1
R6922;0;1;0
R6923;1;1;0
R6924;1;1;0
R6925;0;1;1
R6926;1;1;1
R6927;0;1;0
R6928;1;1;0
R6929;1;0;0
R6930;0;0;1
R6931;1;0;0
R6932;0;0;0
R6933;1;0;0
R6934;0;0;1
R6935;1;1;0
R6936;0;0;1
R6937;0;0;1
R6938;0;0;1
R6939;0;0;0
R6940;1;0;0
R6941;1;0;1
R6942;0;1;1
R6943;1;0;0
R6944;0;0;0
R6945;0;1;1
R6946;1;0;1
R6947;1;1;0
R6948;0;1;1
R6949;0;0;0
R6950;0;0;0
R6951;0;1;0
R6952;1;0;0
R6953;1;0;1
R6954;1;1;1
R6955;0;0;0
R6956;0;1;0
R6957;1;1;0
R6958;0;1;1
R6959;1;1;0
R6960;0;1;1
R6961;1;0;1
R6962;1;0;1
R6963;0;0;1
R6964;0;0;0
R6965;1;0;1
R6966;0;0;0
R6967;1;1;1
R6968;1;1;0
R6969;0;0;1
R6970;0;0;1
R6971;1;1;0
R6972;0;0;1
R6973;1;0;0
R6974;0;1;0
R6975;0;1;1
R6976;1;1;0
R6977;0;0;0
R6978;0;0;0
R6979;0;0;1
R6980;1;0;1
R6981;1;0;0
R6982;0;0;1
R6983;0;1;1
R6984;0;0;0
R6985;0;1;0
R6986;0;1;0
R6987;0;0;1
R6988;1;0;1
R6989;1;0;1
R6990;1;0;0
R6991;1;0;0
R6992;1;1;1
R6993;0;0;1
R6994;0;1;1
R6995;1;0;1
R6996;0;0;0
R6997;0;1;0
R6998;1;0;0
R6999;1;0;0
R7000;1;1;0
R7001;1;1;0
R7002;0;1;1
R7003;1;0;1
R7004;0;1;1
R7005;1;0;0
R7006;1;0;0
R7007;0;0;1
R7008;1;0;1
R7009;1;0;0
R7010;0;0;0
R7011;1;1;0
R7012;0;1;1
R7013;0;1;0
R7014;1;0;1
R7015;1;0;1
R7016;0;0;1
R7017;0;1;1
R7018;0;0;1
R7019;0;1;0
R7020;1;0;1
R7021;1;1;1
R7022;0;0;0
R7023;1;0;1
R7024;0;1;0
R7025;0;1;0
R7026;0;0;0
R7027;1;0;1
R7028;1;0;0
R7029;1;1;1
R7030;0;0;1
R7031;0;0;0
R7032;1;0;1
R7033;1;1;1
R7034;1;1;1
R7035;1;1;0
R7036;0;0;1
R7037;1;1;0
R7038;1;0;0
R7039;0;1;1
R7040;1;1;1
R7041;0;1;0
R7042;1;0;1
R7043;0;1;0
R7044;0;0;1
R7045;1;0;0
R7046;1;1;0
R7047;1;0;0
R7048;1;0;0
R7049;1;0;1
R7050;1;0;0
R7051;1;0;0
R7052;1;1;0
R7053;1;0;1
R7054;0;1;1
R7055;0;1;1
R7056;0;1;1
R7057;1;0;1
R7058;1;1;0
R7059;0;0;0
R7060;1;1;1
R7061;0;0;0
R7062;0;0;1
R7063;0;1;1
R7064;1;1;0
R7065;0;0;1
R7066;0;1;1
R7067;1;1;0
R7068;0;1;1
R7069;0;1;0
R7070;0;1;1
R7071;1;1;0
R7072;0;0;0
R7073;0;1;0
R7074;0;0;1
R7075;1;0;0
R7076;1;0;1
R7077;1;0;1
R7078;0;1;0
R7079;1;0;1
R7080;1;1;1
R7081;0;1;1
R7082;1;1;1
R7083;1;0;0
R7084;0;0;0
R7085;0;0;1
R7086;1;1;1
R7087;1;0;1
R7088;0;0;0
R7089;1;1;0
R7090;1;0;0
R7091;1;1;0
R7092;1;1;1
R7093;0;1;1
R7094;0;1;1
